,time
1454,5.6797
1455,5.6836
1456,5.6875
1457,5.6914
1458,5.6953
1459,5.6992
1460,5.7031
1461,5.707
1462,5.7109
1463,5.7148
1464,5.7188
1465,5.7227
1466,5.7266
1467,5.7305
1468,5.7344
1469,5.7383
1470,5.7422
1471,5.7461
1472,5.75
1473,5.7539
1474,5.7578
1475,5.7617
1476,5.7656
1477,5.7695
1478,5.7734
1479,5.7773
1480,5.7812
1481,5.7852
1482,5.7891
1483,5.793
1484,5.7969
1485,5.8008
1486,5.8047
1487,5.8086
1488,5.8125
1489,5.8164
1490,5.8203
1491,5.8242
1492,5.8281
1493,5.832
1494,5.8359
1495,5.8398
1496,5.8438
1497,5.8477
1498,5.8516
1499,5.8555
1500,5.8594
1501,5.8633
1502,5.8672
1503,5.8711
1504,5.875
1505,5.8789
1506,5.8828
1507,5.8867
1508,5.8906
1509,5.8945
1510,5.8984
1511,5.9023
1512,5.9062
1513,5.9102
1514,5.9141
1515,5.918
1516,5.9219
1517,5.9258
1518,5.9297
1519,5.9336
1520,5.9375
1521,5.9414
1522,5.9453
1523,5.9492
1524,5.9531
1525,5.957
1526,5.9609
1527,5.9648
1528,5.9688
1529,5.9727
1530,5.9766
1531,5.9805
1532,5.9844
1533,5.9883
1534,5.9922
1535,5.9961
1536,6.0
1537,6.0039
1538,6.0078
1539,6.0117
1540,6.0156
1541,6.0195
1542,6.0234
1543,6.0273
1544,6.0312
1545,6.0352
1546,6.0391
1547,6.043
1548,6.0469
1549,6.0508
1550,6.0547
1551,6.0586
1552,6.0625
1553,6.0664
1554,6.0703
1555,6.0742
1556,6.0781
1557,6.082
1558,6.0859
1559,6.0898
1560,6.0938
1561,6.0977
1562,6.1016
1563,6.1055
1564,6.1094
1565,6.1133
1566,6.1172
1567,6.1211
1568,6.125
1569,6.1289
1570,6.1328
1571,6.1367
1572,6.1406
1573,6.1445
1574,6.1484
1575,6.1523
1576,6.1562
1577,6.1602
1578,6.1641
1579,6.168
1580,6.1719
1581,6.1758
1582,6.1797
1583,6.1836
1584,6.1875
1585,6.1914
1586,6.1953
1587,6.1992
1588,6.2031
1589,6.207
1590,6.2109
1591,6.2148
